codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;ocorrencia_uf;ocorrencia_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodo;ocorrencia_tipo
78674;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;ARREMETIDA NO SOLO;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;SIM;2019;NOITE;PERDA DE CONTROLE NO SOLO
78683;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;APROXIMAÇÃO FINAL;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2019;MANHÃ;MANOBRA ABRUPTA
78684;NÃO INFORMADO;FABRICANTE DESCONHECIDO;NÃO INFORMADO;NÃO INFORMADO;REGULAR;DECOLAGEM;NÃO INFORMADO;0;NÃO INFORMADO;INCIDENTE;SP;1;NÃO;2019;TARDE;FOGO NO SOLO
78695;AVIÃO;PIPER AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;CRUZEIRO;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;SE;1;NÃO;2019;TARDE;TURBULÊNCIA
78696;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;MG;1;NÃO;2019;TARDE;ESTOURO DE PNEU
78697;AVIÃO;PIPER AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;NENHUM;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2019;TARDE;COLISÃO COM FAUNA
78698;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0;ATÉ 2250KG;INCIDENTE;MG;1;NÃO;2019;TARDE;COM TREM DE POUSO
78699;AVIÃO;AIR TRACTOR;TURBOÉLICE;MONOMOTOR;PARTICULAR;CORRIDA APÓS POUSO;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;MT;1;SIM;2019;TARDE;EXCURSÃO DE PISTA
78700;NÃO INFORMADO;NÃO INFORMADO;NÃO INFORMADO;SEM TRAÇÃO;REGULAR;CRUZEIRO;NENHUM;0;NÃO INFORMADO;INCIDENTE;MG;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78701;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;SUBIDA;NENHUM;0;ATÉ 2250KG;INCIDENTE GRAVE;GO;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78702;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;CRUZEIRO;LEVE;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2019;NOITE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
78703;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;ADMINISTRAÇÃO DIRETA;DESCIDA DESCONTROLADA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MG;1;NÃO;2019;NOITE;PERDA DE CONTROLE EM VOO
78704;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;DECOLAGEM;LEVE;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2019;NOITE;ESTOURO DE PNEU
78706;AVIÃO;PIPER AIRCRAFT;TURBOÉLICE;BIMOTOR;TÁXI AÉREO;SUBIDA;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;BA;1;NÃO;2019;MANHÃ;FALHA DO MOTOR EM VOO
78707;AVIÃO;MAULE AIRCRAFT;PISTÃO;MONOMOTOR;ESPECIALIZADA;DESCIDA;NENHUM;0;ATÉ 2250KG;INCIDENTE GRAVE;BA;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78708;AVIÃO;EMBRAER;JATO;BIMOTOR;REGULAR;APROXIMAÇÃO FINAL;NENHUM;0;ACIMA 5700KG;INCIDENTE;RJ;1;NÃO;2019;MADRUGADA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
78709;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;1;ATÉ 2250KG;ACIDENTE;PA;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78710;AVIÃO;EMBRAER;PISTÃO;MONOMOTOR;PARTICULAR;MANOBRA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;PA;1;NÃO;2019;TARDE;OPERAÇÃO A BAIXA ALTITUDE
78711;ULTRALEVE;NÃO INFORMADO;NÃO INFORMADO;SEM TRAÇÃO;EXPERIMENTAL;CRUZEIRO;LEVE;0;NÃO INFORMADO;INCIDENTE GRAVE;GO;1;NÃO;2019;TARDE;POUSO EM LOCAL NÃO PREVISTO
78712;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;BIMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MT;1;NÃO;2019;MANHÃ;VOO CONTROLADO CONTRA O TERRENO
78713;AVIÃO;EMBRAER;JATO;BIMOTOR;REGULAR;SUBIDA;LEVE;0;ACIMA 5700KG;INCIDENTE;AM;1;NÃO;2019;TARDE;COLISÃO COM AVE
78714;AVIÃO;PIPER AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;SC;1;SIM;2019;TARDE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
78715;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;CRUZEIRO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;PR;1;NÃO;2019;NOITE;INDETERMINADO
78716;AVIÃO;EMBRAER;TURBOÉLICE;BIMOTOR;NÃO REGULAR;TÁXI;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;SP;1;NÃO;2019;NOITE;ESTOURO DE PNEU
78717;ULTRALEVE;MENDES-ADM PARTICIPACOES E EMPREENDIMENTOS LTDA;PISTÃO;MONOMOTOR;EXPERIMENTAL;MANOBRA;DESTRUÍDA;2;ATÉ 2250KG;ACIDENTE;MG;1;NÃO;2019;NOITE;PERDA DE CONTROLE EM VOO
78718;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;PE;1;NÃO;2019;MANHÃ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
78719;HELICÓPTERO;SIKORSKY AIRCRAFT;TURBOEIXO;BIMOTOR;TÁXI AÉREO;DESCIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;RJ;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78720;AVIÃO;PIPER AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;PR;1;NÃO;2019;TARDE;ESTOURO DE PNEU
78721;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;NÃO REGULAR;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;PA;1;NÃO;2019;TARDE;ESTOURO DE PNEU
78722;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;SUBIDA;SUBSTANCIAL;2;ATÉ 2250KG;ACIDENTE;MS;1;NÃO;2019;MANHÃ;VOO CONTROLADO CONTRA O TERRENO
78723;AVIÃO;BEECH AIRCRAFT;TURBOÉLICE;BIMOTOR;PARTICULAR;DESCIDA;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;AM;1;NÃO;2019;MADRUGADA;FUMAÇA NA CABINE
78724;HELICÓPTERO;AGUSTA;TURBOEIXO;BIMOTOR;MÚLTIPLA;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;RJ;1;NÃO;2019;NOITE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
78725;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;MT;1;NÃO;2019;NOITE;PERDA DE COMPONENTE EM VOO
78726;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;CIRCUITO DE TRÁFEGO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;PB;1;NÃO;2019;NOITE;FALHA DO MOTOR EM VOO
